tAsimetrico;tSimetrico
1,9802;0,4946
3,2333;0,3937
2,1561;22,6927
5,6325;0,2339
2,0164;0,3761
1,7172;0,3909
1,403;1,0408
2,3406;0,4707
1,7819;0,4867
1,583;0,3026
1,3759;0,348
1,6835;0,4298
1,5751;1,8451
2,401;0,3568
1,6032;0,3102
38,029;0,2855
2,1934;0,3539
2,1329;0,3714
1,5392;0,3119
3,4601;0,3988
1,6414;0,3123
1,7313;0,1919
1,633;0,3454
2,1512;0,2377
2,336;0,2989
1,6166;5,7876
2,2801;0,4033
5,2487;0,3099
2,9848;0,1844
1,5858;0,2176
2,1525;0,3369
4,8798;0,2291
2,4926;0,6141
4,8453;0,3761
3,512;15,4924
2,2079;9,8625
1,643;0,4532
1,7191;0,3954
1,7078;0,9015
1,8808;0,3437
5,854;0,4286
1,6123;0,4979
1,5689;3,7885
1,9796;0,361
1,4953;1,3763
1,4101;0,2703
2,9001;0,3219
3,3438;0,3475
4,7186;0,5008
1,1272;0,333
1,571;0,5778
7,0171;0,2189
1,7076;12,1208
1,6283;0,4692
2,4205;0,2928
48,978;0,3031
1,4767;0,2788
1,9174;0,2769
2,6838;0,3563
22,8201;0,4103
1,9408;0,2572
1,7185;0,1356
2,8403;0,3876
4,1721;0,4205
