tAsimetrico;tSimetrico
23,5782;13,2838
14,9502;0,4948
8,2498;0,4593
1,6373;0,3334
1,752;0,3729
1,6911;0,3691
1,957;0,4131
2,1664;1,0948
7,6872;0,9611
1,6209;0,5451
1,5417;1,574
1,5854;0,3522
1,8642;0,3912
3,6566;0,4006
1,9899;1,3144
1,644;0,4113
1,3897;5,4617
1,5979;0,1856
1,5246;0,2276
1,6115;0,1967
2,1048;0,3165
3,0121;0,2797
1,5615;0,4023
36,757;0,4343
1,2817;0,2603
1,4872;2,3478
2,0031;0,3704
1,5697;0,2927
1,4672;0,1838
1,3701;0,164
1,5988;0,2126
1,4689;0,2752
2,3164;0,2522
2,2432;0,1824
1,0577;0,4132
1,2722;0,219
1,1153;0,3419
1,7118;0,2932
1,4042;0,2181
1,4791;0,2327
1,8468;0,2017
1,4501;0,2087
1,0967;0,2621
1,5403;0,2941
0,9937;0,2128
1,6146;0,2212
1,5956;0,213
1,1787;0,2517
1,4742;0,2861
1,6736;0,3035
1,3321;0,1648
1,1099;0,1991
1,1785;0,3962
1,674;0,3565
1,2026;0,2156
1,1573;0,267
1,2115;0,2734
1,1552;0,1544
1,127;0,2606
1,3789;0,1966
1,2475;0,2309
1,0858;0,1679
1,4674;0,1855
1,1636;0,2292
